Name,Team,Number,Position,Age,Height,Weight,College,Salary,Age Group
Avery Bradley,Boston Celtics,0,PG,25,178,180,Texas,7730337.0,20-30
Jae Crowder,Boston Celtics,99,SF,25,160,235,Marquette,6796117.0,20-30
John Holland,Boston Celtics,30,SG,27,165,205,Boston University,,20-30
R.J. Hunter,Boston Celtics,28,SG,22,151,185,Georgia State,1148640.0,20-30
Jonas Jerebko,Boston Celtics,8,PF,29,179,231,,5000000.0,20-30
Amir Johnson,Boston Celtics,90,PF,29,157,240,,12000000.0,20-30
Jordan Mickey,Boston Celtics,55,PF,21,175,235,LSU,1170960.0,20-30
Kelly Olynyk,Boston Celtics,41,C,25,170,238,Gonzaga,2165160.0,20-30
Terry Rozier,Boston Celtics,12,PG,22,170,190,Louisville,1824360.0,20-30
Marcus Smart,Boston Celtics,36,PG,22,173,220,Oklahoma State,3431040.0,20-30
Jared Sullinger,Boston Celtics,7,C,24,159,260,Ohio State,2569260.0,20-30
Isaiah Thomas,Boston Celtics,4,PG,27,180,185,Washington,6912869.0,20-30
Evan Turner,Boston Celtics,11,SG,27,174,220,Ohio State,3425510.0,20-30
James Young,Boston Celtics,13,SG,20,164,215,Kentucky,1749840.0,20-30
Tyler Zeller,Boston Celtics,44,C,26,162,253,North Carolina,2616975.0,20-30
Bojan Bogdanovic,Brooklyn Nets,44,SG,27,172,216,,3425510.0,20-30
Markel Brown,Brooklyn Nets,22,SG,24,162,190,Oklahoma State,845059.0,20-30
Wayne Ellington,Brooklyn Nets,21,SG,28,180,200,North Carolina,1500000.0,20-30
Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,161,220,Arizona,1335480.0,20-30
Jarrett Jack,Brooklyn Nets,2,PG,32,164,200,Georgia Tech,6300000.0,30-40
Sergey Karasev,Brooklyn Nets,10,SG,22,180,208,,1599840.0,20-30
Sean Kilpatrick,Brooklyn Nets,6,SG,26,174,219,Cincinnati,134215.0,20-30
Shane Larkin,Brooklyn Nets,0,PG,23,172,175,Miami (FL),1500000.0,20-30
Brook Lopez,Brooklyn Nets,11,C,28,172,275,Stanford,19689000.0,20-30
Chris McCullough,Brooklyn Nets,1,PF,21,173,200,Syracuse,1140240.0,20-30
Willie Reed,Brooklyn Nets,33,PF,26,178,220,Saint Louis,947276.0,20-30
Thomas Robinson,Brooklyn Nets,41,PF,25,170,237,Kansas,981348.0,20-30
Henry Sims,Brooklyn Nets,14,C,26,154,248,Georgetown,947276.0,20-30
